,date,value,name_B00Q4RRJ1G
431,2021-05-01,11980.0,Ankle Braces
432,2021-05-02,14784.0,Ankle Braces
433,2021-05-03,13091.0,Ankle Braces
434,2021-05-04,13051.0,Ankle Braces
435,2021-05-05,13051.0,Ankle Braces
436,2021-05-06,11284.0,Ankle Braces
437,2021-05-07,11351.0,Ankle Braces
438,2021-05-08,9827.0,Ankle Braces
439,2021-05-09,9827.0,Ankle Braces
440,2021-05-10,11614.0,Ankle Braces
441,2021-05-11,13316.0,Ankle Braces
442,2021-05-12,10895.0,Ankle Braces
443,2021-05-13,10895.0,Ankle Braces
444,2021-05-14,8162.0,Ankle Braces
445,2021-05-15,9054.0,Ankle Braces
446,2021-05-16,10233.0,Ankle Braces
447,2021-05-17,11026.0,Ankle Braces
448,2021-05-18,14911.0,Ankle Braces
449,2021-05-19,10524.0,Ankle Braces
450,2021-05-20,10330.0,Ankle Braces
451,2021-05-21,10284.0,Ankle Braces
452,2021-05-22,10273.0,Ankle Braces
453,2021-05-23,8769.0,Ankle Braces
454,2021-05-24,9082.0,Ankle Braces
455,2021-05-25,11064.0,Ankle Braces
456,2021-05-26,9378.0,Ankle Braces
457,2021-05-27,9141.0,Ankle Braces
458,2021-05-28,9645.0,Ankle Braces
459,2021-05-29,9645.0,Ankle Braces
460,2021-05-30,11470.0,Ankle Braces
461,2021-05-31,10940.0,Ankle Braces
462,2021-06-01,10965.0,Ankle Braces
463,2021-06-02,9068.0,Ankle Braces
464,2021-06-03,9474.0,Ankle Braces
465,2021-06-04,10326.0,Ankle Braces
466,2021-06-05,10174.0,Ankle Braces
467,2021-06-06,10174.0,Ankle Braces
468,2021-06-07,10853.0,Ankle Braces
469,2021-06-08,9747.0,Ankle Braces
470,2021-06-09,9968.0,Ankle Braces
471,2021-06-10,12054.0,Ankle Braces
472,2021-06-11,9472.0,Ankle Braces
473,2021-06-12,9667.0,Ankle Braces
474,2021-06-13,12265.0,Ankle Braces
475,2021-06-14,10689.0,Ankle Braces
476,2021-06-15,10689.0,Ankle Braces
477,2021-06-16,11525.0,Ankle Braces
478,2021-06-17,11525.0,Ankle Braces
479,2021-06-18,9852.0,Ankle Braces
480,2021-06-19,9852.0,Ankle Braces
481,2021-06-20,9852.0,Ankle Braces
482,2021-06-21,10543.0,Ankle Braces
483,2021-06-22,12984.0,Ankle Braces
484,2021-06-23,13111.0,Ankle Braces
485,2021-06-24,13111.0,Ankle Braces
486,2021-06-25,12871.0,Ankle Braces
487,2021-06-26,12871.0,Ankle Braces
488,2021-06-27,12871.0,Ankle Braces
489,2021-06-28,10015.0,Ankle Braces
490,2021-06-29,10015.0,Ankle Braces
491,2021-06-30,12327.0,Ankle Braces
492,2021-07-01,13477.0,Ankle Braces
493,2021-07-02,13477.0,Ankle Braces
494,2021-07-03,7603.0,Ankle Braces
495,2021-07-04,10933.0,Ankle Braces
496,2021-07-05,11881.0,Ankle Braces
497,2021-07-06,11220.0,Ankle Braces
498,2021-07-07,10781.0,Ankle Braces
499,2021-07-08,12779.0,Ankle Braces
500,2021-07-09,12641.0,Ankle Braces
501,2021-07-10,10908.0,Ankle Braces
502,2021-07-11,9231.0,Ankle Braces
