,date,value,name_B07CRLFNDG
581,2019-12-04,69546.0,Bath Towels
582,2019-12-05,69546.0,Bath Towels
583,2019-12-06,69546.0,Bath Towels
584,2019-12-07,69546.0,Bath Towels
585,2019-12-08,69546.0,Bath Towels
586,2019-12-09,35224.0,Bath Towels
587,2019-12-10,35224.0,Bath Towels
588,2019-12-11,35224.0,Bath Towels
589,2019-12-12,35224.0,Bath Towels
590,2019-12-13,35224.0,Bath Towels
591,2019-12-14,35224.0,Bath Towels
592,2019-12-15,35224.0,Bath Towels
593,2019-12-16,20960.0,Bath Towels
594,2019-12-17,20960.0,Bath Towels
595,2019-12-18,20960.0,Bath Towels
596,2019-12-19,20960.0,Bath Towels
597,2019-12-20,28322.0,Bath Towels
598,2019-12-21,28273.0,Bath Towels
599,2019-12-22,28547.0,Bath Towels
600,2019-12-23,27461.0,Bath Towels
601,2019-12-24,27461.0,Bath Towels
602,2019-12-25,28036.0,Bath Towels
603,2019-12-26,28036.0,Bath Towels
604,2019-12-27,28036.0,Bath Towels
605,2019-12-28,28036.0,Bath Towels
606,2019-12-29,28036.0,Bath Towels
607,2019-12-30,28036.0,Bath Towels
608,2019-12-31,28036.0,Bath Towels
609,2020-01-01,26935.0,Bath Towels
610,2020-01-02,31102.0,Bath Towels
611,2020-01-03,31102.0,Bath Towels
612,2020-01-04,38448.0,Bath Towels
613,2020-01-05,38448.0,Bath Towels
614,2020-01-06,38448.0,Bath Towels
615,2020-01-07,31396.0,Bath Towels
616,2020-01-08,31396.0,Bath Towels
617,2020-01-09,31396.0,Bath Towels
618,2020-01-10,31396.0,Bath Towels
619,2020-01-11,31396.0,Bath Towels
620,2020-01-12,31396.0,Bath Towels
621,2020-01-13,31396.0,Bath Towels
622,2020-01-14,31564.0,Bath Towels
623,2020-01-15,31564.0,Bath Towels
624,2020-01-16,31564.0,Bath Towels
625,2020-01-17,44310.0,Bath Towels
626,2020-01-18,44310.0,Bath Towels
627,2020-01-19,44310.0,Bath Towels
628,2020-01-20,44310.0,Bath Towels
629,2020-01-21,44310.0,Bath Towels
630,2020-01-22,44310.0,Bath Towels
631,2020-01-23,44310.0,Bath Towels
632,2020-01-24,44310.0,Bath Towels
633,2020-01-25,44310.0,Bath Towels
634,2020-01-26,33841.0,Bath Towels
635,2020-01-27,33841.0,Bath Towels
636,2020-01-28,33841.0,Bath Towels
637,2020-01-29,33347.0,Bath Towels
638,2020-01-30,33347.0,Bath Towels
639,2020-01-31,33347.0,Bath Towels
640,2020-02-01,33347.0,Bath Towels
641,2020-02-02,33347.0,Bath Towels
642,2020-02-03,33347.0,Bath Towels
643,2020-02-04,33347.0,Bath Towels
644,2020-02-05,33347.0,Bath Towels
645,2020-02-06,33347.0,Bath Towels
646,2020-02-07,42314.0,Bath Towels
647,2020-02-08,42314.0,Bath Towels
648,2020-02-09,42314.0,Bath Towels
649,2020-02-10,42314.0,Bath Towels
650,2020-02-11,42314.0,Bath Towels
651,2020-02-12,42314.0,Bath Towels
652,2020-02-13,42314.0,Bath Towels
653,2020-02-14,42314.0,Bath Towels
654,2020-02-15,42314.0,Bath Towels
655,2020-02-16,49110.0,Bath Towels
656,2020-02-17,49110.0,Bath Towels
657,2020-02-18,49110.0,Bath Towels
658,2020-02-19,49110.0,Bath Towels
