,date,value,name_B07JB4NJNN
446,2020-01-02,34538.0,Wall & Tabletop Frames
447,2020-01-03,34538.0,Wall & Tabletop Frames
448,2020-01-04,34538.0,Wall & Tabletop Frames
449,2020-01-05,34538.0,Wall & Tabletop Frames
450,2020-01-06,39257.0,Wall & Tabletop Frames
451,2020-01-07,39257.0,Wall & Tabletop Frames
452,2020-01-08,39257.0,Wall & Tabletop Frames
453,2020-01-09,58018.0,Wall & Tabletop Frames
454,2020-01-10,58018.0,Wall & Tabletop Frames
455,2020-01-11,58018.0,Wall & Tabletop Frames
456,2020-01-12,58018.0,Wall & Tabletop Frames
457,2020-01-13,58018.0,Wall & Tabletop Frames
458,2020-01-14,13330.0,Wall & Tabletop Frames
459,2020-01-15,13330.0,Wall & Tabletop Frames
460,2020-01-16,13330.0,Wall & Tabletop Frames
461,2020-01-17,13330.0,Wall & Tabletop Frames
462,2020-01-18,13330.0,Wall & Tabletop Frames
463,2020-01-19,13330.0,Wall & Tabletop Frames
464,2020-01-20,13330.0,Wall & Tabletop Frames
465,2020-01-21,13330.0,Wall & Tabletop Frames
466,2020-01-22,13330.0,Wall & Tabletop Frames
467,2020-01-23,13063.0,Wall & Tabletop Frames
468,2020-01-24,13063.0,Wall & Tabletop Frames
469,2020-01-25,13063.0,Wall & Tabletop Frames
470,2020-01-26,13063.0,Wall & Tabletop Frames
471,2020-01-27,13063.0,Wall & Tabletop Frames
472,2020-01-28,13063.0,Wall & Tabletop Frames
473,2020-01-29,13063.0,Wall & Tabletop Frames
474,2020-01-30,13063.0,Wall & Tabletop Frames
475,2020-01-31,13063.0,Wall & Tabletop Frames
476,2020-02-01,13949.0,Wall & Tabletop Frames
477,2020-02-02,13949.0,Wall & Tabletop Frames
478,2020-02-03,13949.0,Wall & Tabletop Frames
479,2020-02-04,13949.0,Wall & Tabletop Frames
480,2020-02-05,13949.0,Wall & Tabletop Frames
481,2020-02-06,13949.0,Wall & Tabletop Frames
482,2020-02-07,13949.0,Wall & Tabletop Frames
483,2020-02-08,13949.0,Wall & Tabletop Frames
484,2020-02-09,10929.0,Wall & Tabletop Frames
485,2020-02-10,10929.0,Wall & Tabletop Frames
486,2020-02-11,10929.0,Wall & Tabletop Frames
487,2020-02-12,10929.0,Wall & Tabletop Frames
488,2020-02-13,10929.0,Wall & Tabletop Frames
489,2020-02-14,10929.0,Wall & Tabletop Frames
490,2020-02-15,10929.0,Wall & Tabletop Frames
491,2020-02-16,10929.0,Wall & Tabletop Frames
492,2020-02-17,10929.0,Wall & Tabletop Frames
493,2020-02-18,10929.0,Wall & Tabletop Frames
494,2020-02-19,10929.0,Wall & Tabletop Frames
495,2020-02-20,17474.0,Wall & Tabletop Frames
496,2020-02-21,17474.0,Wall & Tabletop Frames
497,2020-02-22,17474.0,Wall & Tabletop Frames
498,2020-02-23,17474.0,Wall & Tabletop Frames
499,2020-02-24,17474.0,Wall & Tabletop Frames
500,2020-02-25,17474.0,Wall & Tabletop Frames
501,2020-02-26,17474.0,Wall & Tabletop Frames
502,2020-02-27,17474.0,Wall & Tabletop Frames
503,2020-02-28,14666.0,Wall & Tabletop Frames
504,2020-02-29,14666.0,Wall & Tabletop Frames
505,2020-03-01,14666.0,Wall & Tabletop Frames
506,2020-03-02,14666.0,Wall & Tabletop Frames
507,2020-03-03,11208.0,Wall & Tabletop Frames
508,2020-03-04,11208.0,Wall & Tabletop Frames
509,2020-03-05,12881.0,Wall & Tabletop Frames
510,2020-03-06,12881.0,Wall & Tabletop Frames
511,2020-03-07,12881.0,Wall & Tabletop Frames
512,2020-03-08,12881.0,Wall & Tabletop Frames
513,2020-03-09,15963.0,Wall & Tabletop Frames
