,date,value,name_B07K2P1HTV
661,2020-09-07,23142.0,Panels
662,2020-09-08,32280.0,Panels
663,2020-09-09,32280.0,Panels
664,2020-09-10,32280.0,Panels
665,2020-09-11,35683.0,Panels
666,2020-09-12,26390.0,Panels
667,2020-09-13,28009.0,Panels
668,2020-09-14,28009.0,Panels
669,2020-09-15,27316.0,Panels
670,2020-09-16,27316.0,Panels
671,2020-09-17,27316.0,Panels
672,2020-09-18,22562.0,Panels
673,2020-09-19,22562.0,Panels
674,2020-09-20,22562.0,Panels
675,2020-09-21,27720.0,Panels
676,2020-09-22,27720.0,Panels
677,2020-09-23,27720.0,Panels
678,2020-09-24,29025.0,Panels
679,2020-09-25,29025.0,Panels
680,2020-09-26,29025.0,Panels
681,2020-09-27,29025.0,Panels
682,2020-09-28,32943.0,Panels
683,2020-09-29,32943.0,Panels
684,2020-09-30,32943.0,Panels
685,2020-10-01,40988.0,Panels
686,2020-10-02,33824.0,Panels
687,2020-10-03,33824.0,Panels
688,2020-10-04,30943.0,Panels
689,2020-10-05,30943.0,Panels
690,2020-10-06,30136.0,Panels
691,2020-10-07,30136.0,Panels
692,2020-10-08,23605.0,Panels
693,2020-10-09,23605.0,Panels
694,2020-10-10,23605.0,Panels
695,2020-10-11,27612.0,Panels
696,2020-10-12,27612.0,Panels
697,2020-10-13,24379.0,Panels
698,2020-10-14,33690.0,Panels
699,2020-10-15,33690.0,Panels
700,2020-10-16,33690.0,Panels
701,2020-10-17,31588.0,Panels
702,2020-10-18,28069.0,Panels
703,2020-10-19,24279.0,Panels
704,2020-10-20,24279.0,Panels
705,2020-10-21,32590.0,Panels
706,2020-10-22,45412.0,Panels
707,2020-10-23,45412.0,Panels
708,2020-10-24,45412.0,Panels
709,2020-10-25,45412.0,Panels
710,2020-10-26,30093.0,Panels
711,2020-10-27,33561.0,Panels
712,2020-10-28,28545.0,Panels
713,2020-10-29,28545.0,Panels
714,2020-10-30,28545.0,Panels
715,2020-10-31,25239.0,Panels
716,2020-11-01,25239.0,Panels
717,2020-11-02,25239.0,Panels
718,2020-11-03,25239.0,Panels
719,2020-11-04,26531.0,Panels
720,2020-11-05,26531.0,Panels
721,2020-11-06,24082.0,Panels
722,2020-11-07,38559.0,Panels
723,2020-11-08,38559.0,Panels
724,2020-11-09,38559.0,Panels
725,2020-11-10,32321.0,Panels
726,2020-11-11,41857.0,Panels
727,2020-11-12,41857.0,Panels
728,2020-11-13,31230.0,Panels
729,2020-11-14,28501.0,Panels
730,2020-11-15,28501.0,Panels
731,2020-11-16,28501.0,Panels
732,2020-11-17,46288.0,Panels
733,2020-11-18,46288.0,Panels
734,2020-11-19,46288.0,Panels
735,2020-11-20,43197.0,Panels
736,2020-11-21,46946.0,Panels
737,2020-11-22,46946.0,Panels
738,2020-11-23,46946.0,Panels
739,2020-11-24,58701.0,Panels
740,2020-11-25,58701.0,Panels
741,2020-11-26,58701.0,Panels
742,2020-11-27,58701.0,Panels
743,2020-11-28,55527.0,Panels
744,2020-11-29,55527.0,Panels
745,2020-11-30,53642.0,Panels
746,2020-12-01,53642.0,Panels
747,2020-12-02,53642.0,Panels
748,2020-12-03,51725.0,Panels
749,2020-12-04,51725.0,Panels
750,2020-12-05,45588.0,Panels
