,date,value,name_B076YGNW2Z
501,2019-03-30,35650.0,Reading Glasses
502,2019-03-31,35650.0,Reading Glasses
503,2019-04-01,31165.0,Reading Glasses
504,2019-04-02,31165.0,Reading Glasses
505,2019-04-03,31165.0,Reading Glasses
506,2019-04-04,38610.0,Reading Glasses
507,2019-04-05,38610.0,Reading Glasses
508,2019-04-06,38610.0,Reading Glasses
509,2019-04-07,38610.0,Reading Glasses
510,2019-04-08,38610.0,Reading Glasses
511,2019-04-09,33170.0,Reading Glasses
512,2019-04-10,33170.0,Reading Glasses
513,2019-04-11,33170.0,Reading Glasses
514,2019-04-12,39187.0,Reading Glasses
515,2019-04-13,39187.0,Reading Glasses
516,2019-04-14,39187.0,Reading Glasses
517,2019-04-15,39187.0,Reading Glasses
518,2019-04-16,39187.0,Reading Glasses
519,2019-04-17,39187.0,Reading Glasses
520,2019-04-18,39187.0,Reading Glasses
521,2019-04-19,48425.0,Reading Glasses
522,2019-04-20,72403.0,Reading Glasses
523,2019-04-21,72403.0,Reading Glasses
524,2019-04-22,72403.0,Reading Glasses
525,2019-04-23,72403.0,Reading Glasses
526,2019-04-24,72403.0,Reading Glasses
527,2019-04-25,72403.0,Reading Glasses
528,2019-04-26,52496.0,Reading Glasses
529,2019-04-27,52496.0,Reading Glasses
530,2019-04-28,50590.0,Reading Glasses
531,2019-04-29,50590.0,Reading Glasses
532,2019-04-30,50590.0,Reading Glasses
533,2019-05-01,50590.0,Reading Glasses
534,2019-05-02,51764.0,Reading Glasses
535,2019-05-03,51764.0,Reading Glasses
536,2019-05-04,84498.0,Reading Glasses
537,2019-05-05,84498.0,Reading Glasses
538,2019-05-06,77843.0,Reading Glasses
539,2019-05-07,92909.0,Reading Glasses
540,2019-05-08,121998.0,Reading Glasses
541,2019-05-09,127772.0,Reading Glasses
542,2019-05-10,103000.0,Reading Glasses
543,2019-05-11,95370.0,Reading Glasses
544,2019-05-12,107841.0,Reading Glasses
545,2019-05-13,121976.0,Reading Glasses
546,2019-05-14,143401.0,Reading Glasses
547,2019-05-15,143401.0,Reading Glasses
548,2019-05-16,143401.0,Reading Glasses
549,2019-05-17,63963.0,Reading Glasses
550,2019-05-18,63963.0,Reading Glasses
551,2019-05-19,56893.0,Reading Glasses
552,2019-05-20,70799.0,Reading Glasses
553,2019-05-21,70799.0,Reading Glasses
554,2019-05-22,61116.0,Reading Glasses
555,2019-05-23,61116.0,Reading Glasses
556,2019-05-24,61116.0,Reading Glasses
557,2019-05-25,61116.0,Reading Glasses
558,2019-05-26,61116.0,Reading Glasses
559,2019-05-27,61116.0,Reading Glasses
560,2019-05-28,83885.0,Reading Glasses
561,2019-05-29,107810.0,Reading Glasses
562,2019-05-30,107810.0,Reading Glasses
563,2019-05-31,107810.0,Reading Glasses
564,2019-06-01,107810.0,Reading Glasses
565,2019-06-02,84685.0,Reading Glasses
566,2019-06-03,84685.0,Reading Glasses
567,2019-06-04,84685.0,Reading Glasses
568,2019-06-05,84685.0,Reading Glasses
569,2019-06-06,77351.0,Reading Glasses
570,2019-06-07,77351.0,Reading Glasses
571,2019-06-08,78862.0,Reading Glasses
572,2019-06-09,78862.0,Reading Glasses
573,2019-06-10,78862.0,Reading Glasses
574,2019-06-11,201201.0,Reading Glasses
575,2019-06-12,201201.0,Reading Glasses
576,2019-06-13,201201.0,Reading Glasses
577,2019-06-14,201201.0,Reading Glasses
578,2019-06-15,172848.0,Reading Glasses
579,2019-06-16,172848.0,Reading Glasses
580,2019-06-17,172848.0,Reading Glasses
581,2019-06-18,172848.0,Reading Glasses
582,2019-06-19,233155.0,Reading Glasses
583,2019-06-20,233155.0,Reading Glasses
584,2019-06-21,293943.0,Reading Glasses
585,2019-06-22,293943.0,Reading Glasses
586,2019-06-23,293943.0,Reading Glasses
587,2019-06-24,293943.0,Reading Glasses
588,2019-06-25,182892.0,Reading Glasses
589,2019-06-26,182892.0,Reading Glasses
590,2019-06-27,182892.0,Reading Glasses
591,2019-06-28,182892.0,Reading Glasses
592,2019-06-29,182892.0,Reading Glasses
593,2019-06-30,189036.0,Reading Glasses
594,2019-07-01,189036.0,Reading Glasses
595,2019-07-02,189036.0,Reading Glasses
596,2019-07-03,189036.0,Reading Glasses
597,2019-07-04,133713.0,Reading Glasses
598,2019-07-05,133713.0,Reading Glasses
599,2019-07-06,133713.0,Reading Glasses
600,2019-07-07,133713.0,Reading Glasses
601,2019-07-08,133713.0,Reading Glasses
602,2019-07-09,148990.0,Reading Glasses
603,2019-07-10,148990.0,Reading Glasses
604,2019-07-11,148990.0,Reading Glasses
605,2019-07-12,148990.0,Reading Glasses
