,date,value,name_B07YB6HSB7
393,2020-10-23,16810.0,Wall & Tabletop Frames
394,2020-10-24,16810.0,Wall & Tabletop Frames
395,2020-10-25,12487.0,Wall & Tabletop Frames
396,2020-10-26,17410.0,Wall & Tabletop Frames
397,2020-10-27,17410.0,Wall & Tabletop Frames
398,2020-10-28,17410.0,Wall & Tabletop Frames
399,2020-10-29,17410.0,Wall & Tabletop Frames
400,2020-10-30,16850.0,Wall & Tabletop Frames
401,2020-10-31,16850.0,Wall & Tabletop Frames
402,2020-11-01,16850.0,Wall & Tabletop Frames
403,2020-11-02,16850.0,Wall & Tabletop Frames
404,2020-11-03,16850.0,Wall & Tabletop Frames
405,2020-11-04,19482.0,Wall & Tabletop Frames
406,2020-11-05,19482.0,Wall & Tabletop Frames
407,2020-11-06,19482.0,Wall & Tabletop Frames
408,2020-11-07,19482.0,Wall & Tabletop Frames
409,2020-11-08,19482.0,Wall & Tabletop Frames
410,2020-11-09,22223.0,Wall & Tabletop Frames
411,2020-11-10,19375.0,Wall & Tabletop Frames
412,2020-11-11,24378.0,Wall & Tabletop Frames
413,2020-11-12,24378.0,Wall & Tabletop Frames
414,2020-11-13,24378.0,Wall & Tabletop Frames
415,2020-11-14,24378.0,Wall & Tabletop Frames
416,2020-11-15,24378.0,Wall & Tabletop Frames
417,2020-11-16,20689.0,Wall & Tabletop Frames
418,2020-11-17,20689.0,Wall & Tabletop Frames
419,2020-11-18,20689.0,Wall & Tabletop Frames
420,2020-11-19,20689.0,Wall & Tabletop Frames
421,2020-11-20,17315.0,Wall & Tabletop Frames
422,2020-11-21,17315.0,Wall & Tabletop Frames
423,2020-11-22,17315.0,Wall & Tabletop Frames
424,2020-11-23,17315.0,Wall & Tabletop Frames
425,2020-11-24,17315.0,Wall & Tabletop Frames
426,2020-11-25,15716.0,Wall & Tabletop Frames
427,2020-11-26,15716.0,Wall & Tabletop Frames
428,2020-11-27,11828.0,Wall & Tabletop Frames
429,2020-11-28,14237.0,Wall & Tabletop Frames
430,2020-11-29,14237.0,Wall & Tabletop Frames
431,2020-11-30,20118.0,Wall & Tabletop Frames
432,2020-12-01,17793.0,Wall & Tabletop Frames
433,2020-12-02,17793.0,Wall & Tabletop Frames
434,2020-12-03,17793.0,Wall & Tabletop Frames
435,2020-12-04,16718.0,Wall & Tabletop Frames
436,2020-12-05,16718.0,Wall & Tabletop Frames
437,2020-12-06,16718.0,Wall & Tabletop Frames
438,2020-12-07,16718.0,Wall & Tabletop Frames
439,2020-12-08,16718.0,Wall & Tabletop Frames
440,2020-12-09,16718.0,Wall & Tabletop Frames
441,2020-12-10,17100.0,Wall & Tabletop Frames
442,2020-12-11,17100.0,Wall & Tabletop Frames
443,2020-12-12,17100.0,Wall & Tabletop Frames
444,2020-12-13,17100.0,Wall & Tabletop Frames
445,2020-12-14,17100.0,Wall & Tabletop Frames
446,2020-12-15,19825.0,Wall & Tabletop Frames
447,2020-12-16,19793.0,Wall & Tabletop Frames
448,2020-12-17,19793.0,Wall & Tabletop Frames
449,2020-12-18,19793.0,Wall & Tabletop Frames
450,2020-12-19,19793.0,Wall & Tabletop Frames
451,2020-12-20,19793.0,Wall & Tabletop Frames
