,date,value,name_B07JNPRLY5
466,2021-06-04,2511.0,Lumbar Supports
467,2021-06-05,2511.0,Lumbar Supports
468,2021-06-06,2728.0,Lumbar Supports
469,2021-06-07,2728.0,Lumbar Supports
470,2021-06-08,2958.0,Lumbar Supports
471,2021-06-09,2958.0,Lumbar Supports
472,2021-06-10,2958.0,Lumbar Supports
473,2021-06-11,2739.0,Lumbar Supports
474,2021-06-12,2739.0,Lumbar Supports
475,2021-06-13,2739.0,Lumbar Supports
476,2021-06-14,3018.0,Lumbar Supports
477,2021-06-15,3018.0,Lumbar Supports
478,2021-06-16,2725.0,Lumbar Supports
479,2021-06-17,2391.0,Lumbar Supports
480,2021-06-18,2369.0,Lumbar Supports
481,2021-06-19,2369.0,Lumbar Supports
482,2021-06-20,2488.0,Lumbar Supports
483,2021-06-21,2511.0,Lumbar Supports
484,2021-06-22,3076.0,Lumbar Supports
485,2021-06-23,3040.0,Lumbar Supports
486,2021-06-24,3040.0,Lumbar Supports
487,2021-06-25,3040.0,Lumbar Supports
488,2021-06-26,3040.0,Lumbar Supports
489,2021-06-27,2589.0,Lumbar Supports
490,2021-06-28,2231.0,Lumbar Supports
491,2021-06-29,2443.0,Lumbar Supports
492,2021-06-30,2443.0,Lumbar Supports
493,2021-07-01,2443.0,Lumbar Supports
494,2021-07-02,2571.0,Lumbar Supports
495,2021-07-03,2745.0,Lumbar Supports
496,2021-07-04,2782.0,Lumbar Supports
497,2021-07-05,2632.0,Lumbar Supports
498,2021-07-06,2880.0,Lumbar Supports
499,2021-07-07,2784.0,Lumbar Supports
500,2021-07-08,2998.0,Lumbar Supports
501,2021-07-09,2998.0,Lumbar Supports
502,2021-07-10,3074.0,Lumbar Supports
