,date,value,name_B07R1VJWPM
587,2021-01-28,3756.0,Floating Shelves
588,2021-01-29,3763.0,Floating Shelves
589,2021-01-30,2899.0,Floating Shelves
590,2021-01-31,2899.0,Floating Shelves
591,2021-02-01,2372.0,Floating Shelves
592,2021-02-02,2960.0,Floating Shelves
593,2021-02-03,2668.0,Floating Shelves
594,2021-02-04,3633.0,Floating Shelves
595,2021-02-05,3633.0,Floating Shelves
596,2021-02-06,3633.0,Floating Shelves
597,2021-02-07,3053.0,Floating Shelves
598,2021-02-08,3053.0,Floating Shelves
599,2021-02-09,3576.0,Floating Shelves
600,2021-02-10,3477.0,Floating Shelves
601,2021-02-11,4669.0,Floating Shelves
602,2021-02-12,4669.0,Floating Shelves
603,2021-02-13,6480.0,Floating Shelves
604,2021-02-14,6114.0,Floating Shelves
605,2021-02-15,7086.0,Floating Shelves
606,2021-02-16,7086.0,Floating Shelves
607,2021-02-17,7586.0,Floating Shelves
608,2021-02-18,7586.0,Floating Shelves
609,2021-02-19,9260.0,Floating Shelves
610,2021-02-20,9260.0,Floating Shelves
611,2021-02-21,12008.0,Floating Shelves
612,2021-02-22,12008.0,Floating Shelves
613,2021-02-23,12550.0,Floating Shelves
614,2021-02-24,12550.0,Floating Shelves
615,2021-02-25,13002.0,Floating Shelves
616,2021-02-26,13002.0,Floating Shelves
617,2021-02-27,13002.0,Floating Shelves
618,2021-02-28,20760.0,Floating Shelves
619,2021-03-01,18683.0,Floating Shelves
620,2021-03-02,18683.0,Floating Shelves
621,2021-03-03,23314.0,Floating Shelves
622,2021-03-04,21701.0,Floating Shelves
623,2021-03-05,33346.0,Floating Shelves
624,2021-03-06,23450.0,Floating Shelves
625,2021-03-07,28281.0,Floating Shelves
626,2021-03-08,36861.0,Floating Shelves
627,2021-03-09,36654.0,Floating Shelves
628,2021-03-10,30139.0,Floating Shelves
629,2021-03-11,30139.0,Floating Shelves
630,2021-03-12,34485.0,Floating Shelves
