,date,value,name_B07ZN47WHF
365,2020-11-01,4273.0,Duvet Covers & Sets
366,2020-11-02,4273.0,Duvet Covers & Sets
367,2020-11-03,7542.0,Duvet Covers & Sets
368,2020-11-04,7284.0,Duvet Covers & Sets
369,2020-11-05,7284.0,Duvet Covers & Sets
370,2020-11-06,7364.0,Duvet Covers & Sets
371,2020-11-07,7380.0,Duvet Covers & Sets
372,2020-11-08,6893.0,Duvet Covers & Sets
373,2020-11-09,8603.0,Duvet Covers & Sets
374,2020-11-10,10115.0,Duvet Covers & Sets
375,2020-11-11,10713.0,Duvet Covers & Sets
376,2020-11-12,10241.0,Duvet Covers & Sets
377,2020-11-13,14307.0,Duvet Covers & Sets
378,2020-11-14,11512.0,Duvet Covers & Sets
379,2020-11-15,11512.0,Duvet Covers & Sets
380,2020-11-16,10349.0,Duvet Covers & Sets
381,2020-11-17,10349.0,Duvet Covers & Sets
382,2020-11-18,10386.0,Duvet Covers & Sets
383,2020-11-19,10142.0,Duvet Covers & Sets
384,2020-11-20,13746.0,Duvet Covers & Sets
385,2020-11-21,12962.0,Duvet Covers & Sets
386,2020-11-22,12962.0,Duvet Covers & Sets
387,2020-11-23,14897.0,Duvet Covers & Sets
388,2020-11-24,12511.0,Duvet Covers & Sets
389,2020-11-25,10620.0,Duvet Covers & Sets
390,2020-11-26,12658.0,Duvet Covers & Sets
391,2020-11-27,9704.0,Duvet Covers & Sets
392,2020-11-28,9704.0,Duvet Covers & Sets
393,2020-11-29,7805.0,Duvet Covers & Sets
394,2020-11-30,8710.0,Duvet Covers & Sets
395,2020-12-01,6706.0,Duvet Covers & Sets
396,2020-12-02,6419.0,Duvet Covers & Sets
397,2020-12-03,7266.0,Duvet Covers & Sets
398,2020-12-04,7083.0,Duvet Covers & Sets
399,2020-12-05,7781.0,Duvet Covers & Sets
400,2020-12-06,7781.0,Duvet Covers & Sets
401,2020-12-07,6656.0,Duvet Covers & Sets
402,2020-12-08,6562.0,Duvet Covers & Sets
403,2020-12-09,6151.0,Duvet Covers & Sets
404,2020-12-10,6580.0,Duvet Covers & Sets
405,2020-12-11,6530.0,Duvet Covers & Sets
406,2020-12-12,6061.0,Duvet Covers & Sets
407,2020-12-13,5311.0,Duvet Covers & Sets
408,2020-12-14,6233.0,Duvet Covers & Sets
